Title,Actor,Role,LoveInterest
Strong Woman Bong-soon (Korean: 힘쎈여자 도봉순),Shim Hoon-gi,Ahn Dong-suk,
Strong Woman Bong-soon (Korean: 힘쎈여자 도봉순),Shim Hye-jin,Hwang Jin-yi (Bong-soon's mother),
Strong Woman Bong-soon (Korean: 힘쎈여자 도봉순),Shin Bi,young Do Bong-soon,young In Guk-doo
Strong Woman Bong-soon (Korean: 힘쎈여자 도봉순),Yoo Jae-myung,Do Chil-goo (Bong-soon's father),
Strong Woman Bong-soon (Korean: 힘쎈여자 도봉순),Yoon Ye-hee,Jung Mi-hwa,
The Producers (Korean: 프로듀사),Cha Tae-hyun,Ra Joon-mo,Tak Ye-jin
The Producers (Korean: 프로듀사),Chae Sang-woo,teenage Joon-mo,teenage Ye-jin
The Producers (Korean: 프로듀사),Gil Jeong-woo,young Joon-mo,young Ye-jin
The Producers (Korean: 프로듀사),Gong Hyo-jin,Tak Ye-jin,Ra Joon-mo
The Producers (Korean: 프로듀사),Ha Seung-ri,teenage Ye-jin,teenage Joon-mo
The Producers (Korean: 프로듀사),IU,Cindy,Baek Seung-chan
The Producers (Korean: 프로듀사),Kim Soo-hyun,Baek Seung-chan,Tak Ye-jin
The Producers (Korean: 프로듀사),Lee Ji-won,young Ye-jin,young Joon-mo
The Producers (Korean: 프로듀사),Park Sang-hun,young Seung-chan,young Ye-jin
The Producers (Korean: 프로듀사),Park Seon,young Cindy,
The Secret Life of My Secretary (Korean: 초면에 사랑합니다),Jin Ki-joo,Jung Gal-hee,Do Min-ik
The Secret Life of My Secretary (Korean: 초면에 사랑합니다),Kim Jae-kyung,Veronica Park / Park Ok-sun,Ki Dae-joo
The Secret Life of My Secretary (Korean: 초면에 사랑합니다),Kim Young-kwang,Do Min-ik,Jung Gal-hee
The Secret Life of My Secretary (Korean: 초면에 사랑합니다),Koo Ja-sung,Ki Dae-joo,Veronica Park
Warm and Cozy (Korean: 맨도롱 또똣),Choi Jae-sung,Jin Tae-yong (Gun-woo's father),
Warm and Cozy (Korean: 맨도롱 또똣),Choi Sung-min,Park Dong-soo (Bu Mi-ra's husband),Bu Mi-ra (writer living on Jeju)
Warm and Cozy (Korean: 맨도롱 또똣),Gu Bon-im,Go Yoo-ja (haenyeo of Sorang Town),
Warm and Cozy (Korean: 맨도롱 또똣),Jinyoung,"Jung Poong-san (Gun-woo's friend working with him im """"Warm and Cozy"""" restaurant)",
Warm and Cozy (Korean: 맨도롱 또똣),Kang So-ra,Lee Jung-joo,Baek Gun-woo
Warm and Cozy (Korean: 맨도롱 또똣),Kim Hee-jung,Kim Hae-shil (haenyeo - president of Sorang Haenyeo Assoctiaton),Song Jung-geun (Gun-woo's older brother - president of Noblesse Resort)
Warm and Cozy (Korean: 맨도롱 또똣),Kim Mi-jin,Bu Mi-ra (writer living on Jeju),Park Dong-soo (Bu Mi-ra's husband)
Warm and Cozy (Korean: 맨도롱 또똣),Kim Sung-oh,Hwang Wook (mayor of Sorang Town - bachelor),Lee Jung-joo / Cha Hee-ra (Gun-woo's older sister - director of entertainment agency)
Warm and Cozy (Korean: 맨도롱 또똣),Lee Han-wi,Gong Jong-bae (man of many trades in Sorang Town),
Warm and Cozy (Korean: 맨도롱 또똣),Lee Sang-hyun,Assistant Jang (Song Jung-geun's personal assistant),
Warm and Cozy (Korean: 맨도롱 또똣),Lee Sung-jae,Song Jung-geun (Gun-woo's older brother - president of Noblesse Resort),Kim Hae-shil (haenyeo - president of Sorang Haenyeo Assoctiaton)
Warm and Cozy (Korean: 맨도롱 또똣),Lee Yong-yi,Noh Bok-nyeo (haenyeo of Sorang Town),
Warm and Cozy (Korean: 맨도롱 또똣),Ok Ji-young,Cha Hee-ra (Gun-woo's older sister - director of entertainment agency),Hwang Wook (mayor of Sorang Town - bachelor)
Warm and Cozy (Korean: 맨도롱 또똣),Seo Yi-an,Mok Ji-won (Gun-woo's first love),Baek Gun-woo / Song Jung-geun (Gun-woo's older brother - president of Noblesse Resort)
Warm and Cozy (Korean: 맨도롱 또똣),Yoo Yeon-seok,Baek Gun-woo,Lee Jung-joo / Mok Ji-won (Gun-woo's first love)
Time to Hunt (Korean: 사냥의 시간),Lee Je-hoon,Jun-seok,
Time to Hunt (Korean: 사냥의 시간),Ahn Jae-hong,Jang-ho,
Time to Hunt (Korean: 사냥의 시간),Choi Woo-shik,Ki-hoon,
Time to Hunt (Korean: 사냥의 시간),Park Jung-min,Sang-soo,
Time to Hunt (Korean: 사냥의 시간),Park Hae-soo,Han,
Time to Hunt (Korean: 사냥의 시간),Jo Sung-ha,Bong-sik / Bong-soo,
Time to Hunt (Korean: 사냥의 시간),Kim Won-hae,Bin-dae,
